,Fecha Operación,Agente Representante,Capacidad Efectiva Neta [MW]
0,02/11/2024,ENERCO S.A. E.S.P.,5
1,11/24/2022,TERMO CARIBE S.A.S. E.S.P.,42
2,08/14/2021,DEPI ENERGY S.A.S. E.S.P.,2
3,03/04/2021,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,1
4,12/31/2020,CELSIA COLOMBIA S.A. E.S.P.,1
5,02/28/2020,CEMEX ENERGY S.A.S E.S.P.,17
6,02/08/2020,TERMOPIEDRAS S.A. E.S.P.,4
7,11/07/2019,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,4
8,09/16/2019,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,1
9,10/31/2019,ELECTRIFICADORA DEL META S.A. E.S.P.,20
10,10/31/2019,ELECTRIFICADORA DEL META S.A. E.S.P.,20
11,02/11/2021,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,50
12,08/31/2020,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,50
13,08/31/2020,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,50
14,08/04/2019,GENERSA S.A.S. E.S.P.,10
15,03/23/2019,DEPI ENERGY S.A.S. E.S.P.,1
16,07/25/2018,DEPI ENERGY S.A.S. E.S.P.,2
17,02/02/2018,TERMO MECHERO MORRO S.A.S E.S.P ,19
18,12/16/2017,TERMO MECHERO MORRO S.A.S E.S.P ,19
19,02/02/2018,TERMO MECHERO MORRO S.A.S E.S.P ,19
20,09/28/2018,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,270
21,10/10/2017,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,17
22,06/25/2016,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,2
23,04/29/2016,BIOGAS COLOMBIA S.A.S. E.S.P ,2
24,04/26/2016,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,10
25,03/22/2016,ELECTRIFICADORA DEL META S.A. E.S.P.,2
26,03/20/2016,CELSIA COLOMBIA S.A. E.S.P.,10
27,10/02/2018,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,15
28,03/15/2016,CELSIA COLOMBIA S.A. E.S.P.,16
29,03/04/2016,GENERSA S.A.S. E.S.P.,10
30,11/30/2015,TERMOTASAJERO DOS S.A. E.S.P. ,170
31,11/25/2014,SURENERGY S.A.S. E.S.P.,8
32,09/17/2015,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,164
33,05/23/2007,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,20
34,08/09/2007,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,20
35,08/18/2007,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,20
36,12/30/1999,TERMOPIEDRAS S.A. E.S.P.,4
37,01/08/1999,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,165
38,02/05/1998,CELSIA COLOMBIA S.A. E.S.P.,164
39,08/11/1997,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,50
40,12/14/1985,ENEL COLOMBIA SA ESP,63
41,04/01/1981,ENEL COLOMBIA SA ESP,64
42,01/01/1976,ENEL COLOMBIA SA ESP,63
43,01/01/1964,ENEL COLOMBIA SA ESP,36
44,02/20/1985,TERMOTASAJERO S.A. E.S.P.,165
45,07/01/1993,PROELECTRICA S.A.S E.S.P.,45
46,07/01/1993,PROELECTRICA S.A.S E.S.P.,45
47,01/01/1972,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,13
48,05/06/1982,GESTION ENERGETICA S.A. E.S.P.,70
49,01/01/1975,GESTION ENERGETICA S.A. E.S.P.,72
50,01/01/1963,GESTION ENERGETICA S.A. E.S.P.,36
51,11/23/1987,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,130
52,08/08/1983,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,145
53,01/01/1994,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,40
54,01/01/1965,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,5
55,01/01/1965,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,5
56,01/01/1965,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,5
57,07/20/1995,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,9
58,07/20/1995,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,14
59,01/01/1971,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,9
60,01/01/1971,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,18
61,01/01/1971,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,9
62,01/01/1971,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,8
63,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,11
64,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,10
65,01/01/1980,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,66
66,01/01/1980,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,60
67,07/20/1995,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,52
68,01/01/1980,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,60
69,01/01/1980,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,60
70,12/01/2020,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,8
71,07/29/2004,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,28
72,03/20/2016,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,24
73,02/01/2016,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,12
74,03/20/2016,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,12
75,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,10
76,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,4
77,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,5
78,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,5
79,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,4
80,01/01/1972,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,2
81,01/01/1983,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,13
82,01/01/1983,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,13
83,02/29/2024,CELSIA COLOMBIA S.A. E.S.P.,1
84,02/16/2024,CELSIA COLOMBIA S.A. E.S.P.,1
85,02/22/2024,CELSIA COLOMBIA S.A. E.S.P.,1
86,02/29/2024,CELSIA COLOMBIA S.A. E.S.P.,1
87,02/22/2024,CELSIA COLOMBIA S.A. E.S.P.,1
88,02/16/2024,CELSIA COLOMBIA S.A. E.S.P.,1
89,02/22/2024,UNERGY ENERGY DIGITAL S.A.S E.S.P,1
90,02/22/2024,UNERGY ENERGY DIGITAL S.A.S E.S.P,1
91,02/18/2024,UNERGY ENERGY DIGITAL S.A.S E.S.P,1
92,02/27/2024,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,1
93,01/13/2024,ERCO GENERACION S.A.S. ESP,1
94,10/31/2023,ERCO GENERACION S.A.S. ESP,9
95,10/31/2023,ERCO GENERACION S.A.S. ESP,10
96,12/28/2023,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,10
97,12/15/2023,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,9
98,12/16/2023,BCCY CORDOBA S.A.S. E.S.P.,10
99,09/30/2023,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,83
100,02/16/2024,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,9
101,09/30/2023,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,9
102,09/30/2023,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,9
103,12/30/2023,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,2
104,07/31/2023,SOL DE LAS CIÉNAGAS S.A.S. E.S.P.,50
105,09/30/2023,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,2
106,05/31/2023,PARQUE SOLAR PORTON DEL SOL SAS ESP,102
107,06/08/2023,ENERMAS SAS ESP,1
108,03/24/2023,ERCO GENERACION S.A.S. ESP,0
109,03/24/2023,ERCO GENERACION S.A.S. ESP,0
110,02/28/2023,ENEL COLOMBIA SA ESP,100
111,05/14/2023,PCH SAN BARTOLOME S.A.S. E.S.P. ,20
112,06/18/2023,UNERGY ENERGY DIGITAL S.A.S E.S.P,1
113,08/30/2023,CELSIA COLOMBIA S.A. E.S.P.,20
114,08/05/2023,PARQUE SOLAR LOS GIRASOLES S.A.S ESP,10
115,08/30/2023,CELSIA COLOMBIA S.A. E.S.P.,20
116,08/05/2023,CELSIA COLOMBIA S.A. E.S.P.,10
117,04/30/2023,CELSIA COLOMBIA S.A. E.S.P.,3
118,02/28/2023,SPK LA MATA S.A.S E.S.P,80
119,02/28/2023,SPK LA UNIÓN S.A.S. E.S.P.,100
120,09/04/2023,DEPI ENERGY S.A.S. E.S.P.,2
121,12/31/2022,CELSIA COLOMBIA S.A. E.S.P.,20
122,12/31/2022,GENERSOL S.A.S. E.S.P.,35
123,03/27/2023,CELSIA COLOMBIA S.A. E.S.P.,9
124,03/27/2023,CELSIA COLOMBIA S.A. E.S.P.,20
125,03/27/2023,CELSIA COLOMBIA S.A. E.S.P.,20
126,12/25/2022,PROELECTRICA S.A.S E.S.P.,19
127,12/25/2022,PROELECTRICA S.A.S E.S.P.,19
128,04/15/2023,CELSIA COLOMBIA S.A. E.S.P.,4
129,12/31/2022,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,600
130,12/30/2022,DEPI ENERGY S.A.S. E.S.P.,5
131,06/16/2023,CELSIA COLOMBIA S.A. E.S.P.,5
132,12/21/2022,CELSIA COLOMBIA S.A. E.S.P.,10
133,04/30/2023,CELSIA COLOMBIA S.A. E.S.P.,5
134,01/30/2023,CELSIA COLOMBIA S.A. E.S.P.,9
135,01/30/2023,CELSIA COLOMBIA S.A. E.S.P.,9
136,06/17/2023,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,0
137,12/26/2022,TERMOTASAJERO DOS S.A. E.S.P. ,4
138,09/30/2022,ENEL COLOMBIA SA ESP,370
139,11/17/2022,ENERMAS SAS ESP,0
140,04/04/2023,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,10
141,04/04/2023,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,20
142,08/31/2022,ISAGEN S.A. E.S.P.,12
143,05/14/2023,PCH SAN BARTOLOME S.A.S. E.S.P. ,20
144,09/19/2022,CELSIA COLOMBIA S.A. E.S.P.,10
145,09/15/2022,CELSIA COLOMBIA S.A. E.S.P.,10
146,09/15/2022,CELSIA COLOMBIA S.A. E.S.P.,10
147,09/21/2022,CELSIA COLOMBIA S.A. E.S.P.,2
148,09/10/2022,CELSIA COLOMBIA S.A. E.S.P.,19
149,09/14/2022,CELSIA COLOMBIA S.A. E.S.P.,200
150,09/12/2022,ISAGEN S.A. E.S.P.,18
151,09/12/2022,ISAGEN S.A. E.S.P.,20
152,05/31/2022,CELSIA COLOMBIA S.A. E.S.P.,10
153,05/19/2022,CENTRAL HIDROELÉCTRICA ZEUS SAS ESP,10
154,04/30/2022,ISAGEN S.A. E.S.P.,20
155,06/11/2022,CELSIA COLOMBIA S.A. E.S.P.,5
156,05/30/2022,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,0
157,05/31/2022,PROELECTRICA S.A.S E.S.P.,1
158,03/03/2022,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,16
159,08/25/2023,ERCO GENERACION S.A.S. ESP,1
160,08/25/2023,ERCO GENERACION S.A.S. ESP,1
161,03/30/2022,P.CH EL COCUYO SAS ESP,1
162,10/27/2023,TERMOCANDELARIA S.A.S. - E.S.P. ,555
163,08/11/2022,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,10
164,05/31/2022,HIDROENERGIA DE LA MONTAÑA S.A.S E.S.P,15
165,08/07/2021,CELSIA COLOMBIA S.A. E.S.P.,10
166,09/25/2021,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,20
167,09/02/2021,GENERSA S.A.S. E.S.P.,5
168,04/30/2021,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,5
169,12/31/2021,ENEL COLOMBIA SA ESP,150
170,11/30/2020,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,5
171,12/27/2020,CELSIA COLOMBIA S.A. E.S.P.,10
172,04/25/2022,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,2
173,12/01/2010,PRIME TERMOFLORES S.A.S. E.S.P.,445
174,12/01/2018,TERMONORTE S.A.S. E.S.P.,88
175,11/30/2000,GENERADORA TERMOCENTRO S.A.S. E.S.P.,272
176,11/01/1993,PRIME TERMOFLORES S.A.S. E.S.P.,160
177,02/07/1998,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,433
178,12/17/2011,PRIME TERMOVALLE S.A.S EMPRESA DE SERVICIOS PUBLICOS,241
179,07/16/1999,TERMOEMCALI I S.A. E.S.P.,229
180,10/21/1989,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,791
181,12/31/2020,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,1
182,09/30/2020,4E GROUP S.A.S E.S.P.,3
183,11/30/2020,ISAGEN S.A. E.S.P.,20
184,09/10/2020,ISAGEN S.A. E.S.P.,20
